İLDIRIM,Havada yığılmış atmosfer elektrikinin çox vaxt əyri-üyrü zolaq şəklində ani parıltısı.
DAYANACAQ,Sərnişinlərin düşməsi və minməsi üçün yer.
XARABAXANA,Xarabalıq.
FİRUZƏ,Göy rəngli qiymətli daş.
YIRĞALANMAQ,O tərəf-bu tərəfə əyilərək hərəkət etmək.
KƏNDİRBAZ, İp üzərində gəzən adam.
SALAVAT,Məhəmməd peyğəmbər və imamların şəninə oxunan dua.
BULEYLİ,Azərbaycan toy mahnısı.
MƏHRƏBA,Dəsmal.
SALAMAT,Xətərsiz- bəlasız.
ƏNDİRƏBADİ,Antikvar.
FLORA,Bahar və güllər ilahəsi.
MÜHARİBƏ,Dövlətlər arasında mütəşəkkil silahlı mübarizə.
QARAĞAT,Giləmeyvə.
HÖRÜMÇƏK,Buğumayaqlı böcək.
QINAMAQ,Məzəmmət etmək.
ŞÖHRƏTPƏRƏST,Şöhrət düşkünü.
QANUNİ,Qanuna müvafiq.
ƏTİR,Gözəl iy.
QARINQULU,Qarnına qul olan.
MİSMAR,Mıx.
MİŞAR,Diş-diş alət.
BÜLÖV,Bıçaq itiləmək üçün daş.
DƏYİRMANDAŞI,Dəyirmanda unu üyüdən girdə daş.
GƏLİN,Ərə gedən qız.
SERGÜZƏŞT,Macəra.
SAĞLAMLIQ,Gümrahlıq.
CƏSARƏT,Qorxmazlıq.
DALAQ,Qan kürəcikləri hazırlayan və bu proseslə bağlı başqa mürəkkəb vəzifələr görən bədən üzvü.
DABAN,İnsan və heyvan ayağının dal hissəsi.
TAPMACA,Üstüörtülü şəkildə təsvir edən yığcam məcazi ifadədən ibarət müəmma.
ƏTALƏT,Hərəkətsizlik.
ƏHƏMİYYƏT,Mühümlük.
QALIN,Nazik müqabili.
ƏLƏSGƏR, 1821-ci ildə Göyçə mahalının Ağkilsə kəndində anadan olmuşdur. Atası Alməmməd kəndin hörmətli şəxslərindən sayılırdı; əsas məşğuliyyəti dülgərlik idi. Eyni zamanda; bədahətən söz demək; şeir qoşmaq istedadı vardı. Ara-sıra qoşma; bayatı; gəraylı söyləyərdi.
QULP,Dəstə; sap.
SURAXANI,Bakıda inzibati rayon.
İQTİDAR, Hakimiyyət.
VƏKİL,Vəkalətə əsasən iş görən şəxs.
ƏHD,Öhdəsinə alma.
CİLD,Kitabın üzü.
SIĞINACAQ,Daldanacaq.
TİKANLIQ,Çoxlu kolları bitmiş yer.
BƏXŞİŞ,Bağışlanmış şey.
ƏCDAD,Atababalar.
ÖLÇMƏK,Bir şeyin miqdarını qəbul olunmuş vahidlər əsasında müəyyən etmək.
MƏĞLUBİYYƏT,Məğlub olma.
ƏFƏNDİ,Sünni ruhanilərinə verilən ləqəb.
QUMRU,Göyərçin cinsindən boz rəngli gözəl bir quş.
BAHAR,İlin qış; yay arasında olan fəsli.
