DONQAR,  Qozbel .
YOĞUN,  Qalın.
DÖYMƏK,  Əzişdirmək.
SÜRTMƏK,  Ovxalamaq.
DÜŞƏRGƏ, Keçmiş toylarda:bəyin hamam boğçasını gətirən adama verilən hədiyyə.
DƏSTƏ, Qrup.
DƏSTƏ,  Adamlardan ibarət qrup.
SƏMƏRƏ,   Fayda; mənfəət.
BƏNZƏR, Tay.
HƏSRƏT, Qovuşmaq arzusu.
QARAMA,  Su; lığ.
TƏSƏRRÜFAT,  İstehsal münasibətlərinin məcmusu.
QABAQDA,  İrəlidə.
DÜŞBƏRƏ, Xəmir parçalarının içinə ət qoyulub bükülərək suda bişirilən xörək.
TƏNTƏNƏ,   Təmtəraq.
XOŞBƏXT, Bəxti gətirmiş.
İNSAN, Bəşər.
SƏNAYE, Xammalı emal edən müəssisələri birləşdirən sahə.
PEŞƏKAR,Sənətkar.
BASMA,  Üzərində tatar xanının şəkli olan möhür.
QORXAQ,  Ürəksiz.
YƏHƏR,  Atın belinə bağlanan oturacaq.
SANCMAQ,  Dəlmək.
ƏLAQƏ,   Qarşılıqlı münasibət.
BAZAR,  Alış-veriş yeri.
MAQNİT, Bəzi cisimləri özünə çəkməyə malik cisim.
ÖYRƏNMƏK, Bilik əldə etmək.
XÜSUS,  Xas olma.
MƏXLUQ,Canlı varlıq.
BƏXTİYAR,Xoşbəxt.
ELM,Təbiət və cəmiyyətin inkişafındakı qanunauyğunluqları və obyektiv aləmə təsiri üsullarını meydana çıxaran biliklər sistemi.
QANACAQ,Düşüncə; şüur.
MARİFLƏNMƏK,Bilik vermək.
QƏNİMƏT, Müharibədə düşməndən alınan hər cür şey.
BƏZƏMƏK,  Gözəlləşdirmək.
KÖMMƏK,Yardım.
HAQQ,Həqiqi
MƏRİFƏT,Ədəb; tərbiyə.
BALA,Övlad.
CƏHƏNNƏM,Bu dünyada günah işlər görmüş adamların öldükdən sonra əbədi əzab çəkəcəkləri yer.
MƏHARƏT,Bacarıq; qabiliyyət.
ANA,Övladı olan qadın.
ƏDALƏT,Haqq və düzgünlük prinsiplərinə riayət.
MƏSRƏKƏ,İstehza; ələ salma.
DİALEKT, Ləhcə.
QADAĞAN,  Yasaq.
KİTAB,Cildə tikilmiş kağız vərəqləri.
MƏRD, İgid.
BACI,Qıza ehtiramla müraciət.
ALLAH,Haqq
YEMƏK,Qida qəbul etmək.
QAYIQ,Su nəqliyyat vasitəsi.
İŞIQ,Gözlə görünəcək hala salan şüa enerjisi.
İNSANLIQ,İnsanpərvərlik.
ZÜLM,Əzab.
QARANLIQ,Zülmət.
ZÜLMƏT,Şəfəq saralmış.
QOCALIQ,Ahılıq.
QURAN,Müsəlmanların müqəddəs dini kitabı.
ƏDƏB,Əxlaq qaydalarına riayət.
CƏNNƏT,Behişt.
MƏNƏVİYYAT, Yüksək əxlaq.
ZİYA,İşıq.
İBTİDAİ,Ən əvvəl olan.
ZİYALI,Əqli əməklə məşğul olan adam. 
QARDAŞ, Bir ata-anadan oğulların bir-birinə nisbətən hər biri.
DİYAR,Məmləkət.
SÜLALƏ,Qohumluq və varislik hüququna əsasən taxtda ardıcıl surətdə birbirini əvəz edən; eyni soydan olan padşahlar sırası.
DAVRANIŞ,Rəftar.
SƏRGÜZƏŞT,Macəra.
HİKMƏT,Dərin məna.
ÖVLAD,Oğul və ya qız.
İSRAF,Artıq və lazımsız yerə xərcləmə.
HEYVAN, İnsanı çıxmaqla hər cür canlı məxluq.
MAHİR,Məharətli.
ÜFÜRMƏK,Ağızdakı havanı şiddətlə bir şeyə yönəltmək.
DƏRİN,Çox uzaqlara gedən.
İSTİRAHƏT,Dincəlmə.
ÜZƏRİNDƏ,Üstündə.
ŞİRİN,Şəkər.
İNSAN, Bəşər.
DÜZƏLTMƏK,Qaydaya salmaq.
BİTKİ, Torpaqda bitən hər şey.
BAŞLANĞIC, Əvvəl.
CÜRBƏCÜR,Müxtəlif.
AXŞAM,Günbatan vaxt.
YARATMAQ, Əməklə vücuda gətirmək.
YER,Quru.
YAXŞI,Öz keyfiyyəti ilə verilən tələbləri təmin edən.
AYRILMAQ,Uzaq düşmək.
SAHİB,Yiyə.
QAYNAMAQ,Qızmaq nəticəsində buxarlanaraq pıqqıldamaq.
TOXUM,Çiyid.
GÖRMƏK,Gözləri ilə qavramaq..
GÖY,Yer üzünün üzərində mavi bir qübbə kimi görünən fəza.
DEMƏK,Söyləmək.
İŞIQ, Ziya.
BƏNZƏR,Oxşar.
SƏHƏR,Sabah.
QRULUŞ,Üsul; sistem.
YARPAQ,Bitkilərin yaşıl hissələri
ULDUZ,Göy cismi.
TÖRƏMƏK,Doğmaq.
QARANLIQ,Baxanda heç bir şey görünməyən hal.
GÖNDƏRMƏK,Yollamaq.
HÖKMDAR, Padşah.
ÇIRAQ,Lampa.
DOLAŞMAQ,Gəzmək.
DƏNİZ,Dərya.
GÜNDÜZ, Dündoğandan günbatana qədər olan müddət .
RUH, İnsanın psixi aləmi; onun hiss və duyğuları.
ÇÖL,Susuz düzənlik.
TORPAQ,Yer.
BAĞ,Güllük; çiçəklik.
QADIN,Xanım.
AYIRMAQ,Qoparmaq.
SAVADLI,Yazıb-oxumağı bacaran.
QUŞ,Uçan heyvan.
GÖRÜNÜŞ,Bir şeyin zahiri şəkli.
KİŞİ,  Namuslu; sözündə sabit adam.
BOŞ,Bihudə; əbəs.
CANLI,Diri; sağ.
YAĞIŞ,Yağmur.
QURAMA, Özündən quraşdırılmış söz.
ƏSARƏT,Əsirlik.
MÜHARİBƏ,Hərb.
BAŞQA,Digər.
QORXMAQ,Diksinmək.
ÖRDƏK,Ev quşu.
DAHA,Sifətlərdən əvvəl gələrək çoxaltma dərəcəsi əmələ gətirir.
MƏZƏ,Yumor.
NƏSİL,Əcdadı bir olan qohumlar silsiləsi.
NƏZARƏTÇİ,Baxıcı.
GÖZƏLLİK,Qəşənglik.
MAMAÇA,Xüsusi təhsili olmayan ara həkimi.
QARĞIŞ,Birisinin haqqında pis arzu.
AİLƏ,Külfət.
FİRON,Qədim Misir padşahlarına verilən ad.
QULDURLUQ,Soyğunçuluq.
AĞRI,Duyğu sinirlərinin qıcıqlanması nəticəsində beyinə gedən signal.
SƏADƏT,Həyatda ən yüksək məmnunluq hissi.
SƏTƏLCƏM,Bərk soyuqdəymə.
ARAZ,Çay.
MİSİR,Ölkə
PALÇIQ,İslanaraq horra halına gəlmiş torpaq.
VAXT, Saniyələrlə ölçülən davam müddəti.
QURBAĞA,Suda və quruda yaşayan quyruqsuz heyvan.
PADŞAH,Şah.
SAĞLAM, Sağ-salamat olan.
DOĞMAQ,Balalamaq.
VƏZİYYƏT,Hal.
ULAQ,Yük heyvanı.
İSTİRAHƏT,Dincəlmə.
MARAQ,Meyli olmaq.
CƏZA,Hər hansı təqsirə; pis əmələ qarşı tətbiq edilən təsir tədbiri.
MƏNİMSƏMƏK,Bir işi görüb götürmək.
QADIN,Arvad.
QƏDİR, Layiqincə qiymətləndirmək.
ŞƏNBƏ,Həftənin günü.
GƏLƏCƏK,Zaman baxımından hələ çatmamış.
ÇOXALMAQ,Artmaq.
GÜLMƏLİ,Gülüş doğuran.
AĞILLI,Qanacaqlı.
XEYİRXAH,Başqasının yaxşılığını istəyən.
QUZU,Qoyun balası.
QALAY,Kimyəvi element.
AXIN,Çay.
ƏDVİYYAT,Xüsusi dad; xoş iy; bəzən də rəng vermək üçün xörəyə və şirniyyata qatılan.
NƏSİB,Qismət.
TAMAMLAMAQ,Tam hala gətirmək.
QARMAŞIQ,Qarışıq.
KƏRPİC,Düzbucaq şəklində qəliblənmiş gildən hazırlanan tikinti materialı.
OXUMAQ,Mütaliə etmək
PROQRAM,Görüləcək iş.
SƏRSƏR,  Soyuq külək.
ALLAH, Tanrı.
ƏMR,Hökm.
YARDIM,Əl tutmaq.
