BAŞLANĞIC , İnsaf hissi.
ALLAH , Acıma.
GÖY ,Hər hansı hesablamanın rəqəmlərlə ifadə olunan nəticəsi.
YER ,Allah
YARATMAQ ,Şah
QRULUŞ ,Danışan şəxs bu sözlə özü ilə bərabər bir neçə nəfər.
BOŞ ,Tənha.
DƏRİN ,Dua oxuma.
QARANLIQ ,Arzu etmək.
RUH ,Düzgün.
ÜZƏRİNDƏ ,Gediş-gəliş üçün zolaq şəklində ayrılmış yer.
DOLAŞMAQ ,İstiqamət vermək.
DEMƏK ,Yaşamaq üçün lazım olan şeylərin məcmusu.
İŞIQ , Bağışlayan.
GÖRMƏK ,Cəmiyyətdə ayrıca adam.
YAXŞI ,Hiddət.
AYIRMAQ ,Rast gəlmək.
GÜNDÜZ ,Yolu itirmək.
AXŞAM ,Əsla.
SEHƏR ,Bir şeyin həqiqətə uyğun ola biləcəyi haqqında fikir.
DƏNİZ ,Meydana gətirmək.
BİTKİ ,Cildə tikilmiş kağız vərəqləri.
ÇIRAQ ,Göz önündə olmama.
ULDUZ ,Dərin inam.
QAYNAMAQ ,Müsəlmanların gündə beş dəfə müəyyən vaxtlarda müəyyən qaydalar üzrə icra etməli olduqları ibadət.
BƏNZƏR ,Azuqə  yeyəcək.
YARATMAQ ,Dini etiqadlara görə Allah tərəfindən gələn.
QADIN ,Öləndən sonra əbədi dünya.
KİŞİ , Bel bağlamaq.
TÖRƏMƏK ,Şübhəsiz.
SAHİB ,Qurtuluş  xilas.
QUŞ ,həqiqətən olmuş şey.
HÖKMDAR , Şeyləri bir-birindən ayıran cəhət.
TOXUM ,Ürək.
TAMAMLAMAQ ,İnsanların və heyvanların orqanı.
AYRILMAQ ,Damğa.
İSTİRAHƏT ,Görmə orqanı.
ÇÖL ,Örtük.
YAĞIŞ ,Əziyyət.
GÖNDƏRMƏK ,Bəşər.
TORPAQ ,Dinin ehkamlarına ciddi surətdə əməl edən adam.
İNSAN , Əbədi dünya.
DÜZƏLTMƏK ,Yoldan çıxarmaq.
NƏFƏS ,Səy göstərmək.
ÜFÜRMƏK ,Baxmayaraq ki.
CANLI ,Tənha.
BAĞ ,Naxoşluq.
GÖRÜNÜŞ ,Könül.
ŞİRİN ,Yorucu.
CÜRBƏCÜR ,Nifaq  qarışıqlıq.




