PARANOYA,Abartılı gurur; kuşku; güvensizlik; bencillikle belli olan bir ruh hastalığı
ASAL,Esasi
MAYA,Ferment; enzim
IRAK,Uzak
SAKİL,Türk müziğinde bir usul
TINI,Türlü müzik araçlarının verdiği sesleri birbirinden ayırt etmeyi sağlayan ses özelliği
ASABİLİK,Sinirlilik; asabiyet.
PASTIRMA,Tuz; çemen; kırmızı biber karışımının et üzerine sürülerek güneşte veya iste kurutulması yoluyla yapılan yiyecek
REİS,Küçük gemi kaptanı
RANZA,Kışla; yatılı okul; cezaevi vb. yerlerde iki katlı yatak yeri
AKIL,Düşünme; anlama ve kavrama gücü
YAYA,Yürüyerek giden
ALABALIK,Bir tatlı su balığı
ASABİLİK,Sinirlilik; asabiyet
ORDUGAH,Ordunun konakladığı yer
SUARE,Sinemalarda gece yapılan film gösterimi
BORA,“... Ayanoğlu” (“Söz-Müzik” adlı albümün sanatçısı)
CELAL,“... Çalık” (“Kardanadam” adlı kitabın şairi; yazar)
LALE,“... Mansur” (Aktris)
EMANET,Korunmak üzere bırakılmış
SAVAŞATI,Steven Spielberg’in ödüllü bir filmi
ARALIK,Yılın son ayı
ALOSA,Tirsi balığı
RUSÇA,Rus dili
LEVA,Bulgaristan’ın para birimi
CEMAL,“... Şan” (Yönetmen)
GEBE,Hamile
OLANAK,İmkân
HARARET,Sıcaklık; ısı
YALITIM,İzolasyon
OBEZİTE,Aşırı şişmanlık
BEKAR,Evlenmemiş olan
EROL,“... Evgin” (Müzik sanatçısı)
İMAME,Tespih başlığı
İMALE,Aruz vezninde kısa okunması gereken heceyi ölçüye uydurmak için uzun okuma
FİLARİZ,Keten dövmeye yarayan tokmak
HAKİM,Yargıç
OBERON,Uranüs gezegeninin uydularından biri
BERE,Yuvarlak; yassı ve sipersiz şapka
İLİK,Düğme deliği
ZALİM,Acımasız ve haksız davranan; zulmeden
MAKAM,Mevki; kat; yer
ÇALAR,Farklılık veya anlam inceliği; nüans
ERİME,(Mecazi anlamda) Çok zayıflama
NAME,Mektup
TALAŞ,Testere ile biçilen veya rende; matkap; törpü gibi araçlarla işlenen bir şeyden dökülen kırıntılar
AKİM,Kısır; verimsiz
SARA,Yilbik
AFERİN,Bravo
MENEMEN,İzmir’in bir ilçesi
AMAÇ,Erek; gaye
NOTA,Bir müzik sesini belirtmeye yarayan işaret
ALAKA,İlgi
MALİKANE,Yurtluk
ENAM,Yaratılmış bütün canlılar
SEMA,Gökyüzü
BAREM,Devlet memurlarının maaşlarının derece ve tutarlarını düzenleyen sistem ve çizelge
MARİNA,Yat limanı
ELEMAN,Bir toplulukta çalışan insanların her biri.
AHUDUDU,Ağaççileği; frambuaz
LALA,Şehzade eğitmeni
AMELİYAT,Cerrahi müdahale
İBARE,Bir düşünce anlatan bir veya birkaç cümlelik söz
GÜLCİHAN,“... Keleşoğlu” (“Kendine İyi Bak” adlı ‘kişisel gelişim’ kitabının yazarı)
ARTER,Atardamar
ALAKARGA,Saksağan
HAMİ,Gözeten; koruyan; koruyucu (kimse)
ULEMA,Âlimler (Eski dilde)
LİCE,Diyarbakır’ın bir ilçesi
İKİBİR,Tavlada; zarlardan birinin bir; öbürünün iki benekli olan yüzünün üste gelmesi
DEYİ,Logos
ARAR,Dağservisi
BACANAK,Karıları kardeş olan erkeklerden her biri
NAZAN,“... Şara Şatana” (‘Topkapı Şifresi’nin yazarı)
ZEKA,Anlak; dirayet
ÜMERA,Amirler; buyurucular
GÖMÜ,Define
KARAF,Şarap sürahisi
SEMERE,İstenilen sonuç; verim
ŞERMİN,Tevfik Fikret’in ünlü çocuk kitabı
BÜZÜKTAŞ,Kafa dengi arkadaş; kafadar
ANEMON,Dağ lalesi
ANAR,“İhsan Oktay ...” (‘Amat’ın yazarı)
AGAMİ,Borazan kuşu
ÖREN,Eski bina veya şehir kalıntısı; harabe; virane
KALAMAR,Bir mürekkepbalığı türü
NİLÜFER,“... Açılan Yıldız” (‘Sıfır Kapıları’nın şairi; yazar)
ELEKTRİK,(Mecazen) Çarpıcılık; cazibe; canlılık
KANI,İnanılan düşünce; kanaat
ROZET,Pembe ve beyaz çiçekleri olan bir süs bitkisi
NAAŞ,Ceset
EKOL,(Bilim; sanat vb.de) Okul
EHİL,Erbap
İKSİR,Aşk ilham eden büyülü içki
İBRAHİM,“... Düğer” (“Defne Yaprağı’ndan Dökülen Şiirler” adlı kitabın şairi; halk ozanı)
EKONOMİ,İktisat
LAKAP,Bir kimseye; bir aileye kendi adından ayrı olarak sonradan takılan; o kimsenin veya o ailenin bir özelliğinden kaynaklanan ad
KIRŞEHİR,Bir ilimiz
KİRA,İcar
RAZMOL,İri; kepekli un
İDEAL,Düşüncenin tasarlayabileceği bütün üstün nitelikleri kendinde toplayan
KATİ,Kesin
EKVATOR,eşlek
KRİTER,Ölçüt; kıstas
VARİL,Çoğunlukla sıvı maddeleri koymak için kullanılan; metalden yapılmış; silindir biçiminde; üstü kapalı kap
AKAN,“Tarık ...” (Aktör)
DANA,İneğin; sütten kesildikten sonra bir yaşına kadar olan yavrusu
MERAM,Konya’nın bir ilçesi
KEMERE,Gemi güvertesinin enine konmuş kirişlerinden her biri
KARAMAN,Bir ilimiz
EKVADOR,Güney Amerika’da bir ülke
KRAVAT,Boyunbağı
VİRAN,Yıkık; harap
AMER,Acımtırak bir içki
TELA,Kumaşla astar arasına konulan kolalı bez
KEREM,Bağış olarak verme; iyilik; cömertlik; eli açıklık; lütuf
PAPARA,Ekmek; peynir ve et suyu veya süt ile yapılan bir tür yemek
LADYGAGA,Amerikalı ünlü bir şarkıcı
İTİBAR,Prestij; saygınlık
DEHA,Dâhilik
ÇİSE,İnce yağmur
ALAN,Orman içinde düz ve ağaçsız yer; kayran
TUHAFİYE,Çorap; mendil; eldiven gibi giyim ile kurdele; dantel gibi giysi süsüne yarar şeyler
ARAR,“Funda ...” (Şarkıcı)
LİMONATA,Limon şerbeti
ATAK,Hücum; hamle
SAHA,Oyun alanı
ÇINAR,Bir ağaç
GADİR,Haksızlık etme; zarar verme
ARES,Yunan mitolojisinde savaş tanrısı
HEDİYE,“Sildim Adını” adlı albümün sanatçısı
